"Plan ID","Date/Time","Description","Status","Finalized By","Finalized Date/Time"
"=""861280""","=""10/20/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 10:08:17 PM GST"""
"=""862254""","=""10/20/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 10:08:21 PM GST"""
"=""863228""","=""10/20/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 10:09:22 PM GST"""
"=""864202""","=""10/20/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 10:09:30 PM GST"""
"=""865176""","=""10/20/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 10:10:13 PM GST"""
"=""866150""","=""10/20/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 10:10:19 PM GST"""
"=""849141""","=""10/17/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","="" ""","="""""
"=""850068""","=""10/17/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","="" ""","="""""
"=""850653""","=""10/17/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","="" ""","="""""
"=""851738""","=""10/18/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","="" ""","="""""
"=""852249""","=""10/18/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","="" ""","="""""
"=""853254""","=""10/18/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","="" ""","="""""
"=""853926""","=""10/18/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","="" ""","="""""
"=""854267""","=""10/18/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","="" ""","="""""
"=""854760""","=""10/18/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","="" ""","="""""
"=""855774""","=""10/19/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/19/2021 10:18:45 PM GST"""
"=""856696""","=""10/19/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/19/2021 10:18:46 PM GST"""
"=""857292""","=""10/19/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/19/2021 10:18:54 PM GST"""
"=""857785""","=""10/19/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/19/2021 10:18:55 PM GST"""
"=""858307""","=""10/19/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/19/2021 10:19:01 PM GST"""
"=""858800""","=""10/19/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/19/2021 10:19:01 PM GST"""
"=""859956""","=""10/20/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 10:08:16 PM GST"""
"=""860355""","=""10/20/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 10:08:22 PM GST"""
"=""848767""","=""10/17/2021 8:30:00 AM GST""","=""09:30AM""","=""Completed""","="" ""","="""""
